Event_Title,Location,Capacity,Date,Catering,Entertainment,Price
Birthday,Hyderabad,4628,2024-03-24,No,No,322955.96
Meetup,Ahmedabad,2968,2025-03-04,Yes,Yes,207819.2
Marriage,Chennai,4706,2025-11-04,No,Yes,345694.69
Corporate,Bhubaneswar,2312,2024-04-01,Yes,Yes,195473.33
Meetup,Bangalore,3654,2024-01-13,No,No,271912.57
Birthday,Bangalore,3561,2024-07-14,Yes,Yes,297989.13
Corporate,Chennai,242,2024-05-31,No,No,56377.83
Birthday,Kolkata,1250,2024-03-14,Yes,No,111169.08
Marriage,Ahmedabad,2747,2024-10-05,No,No,203084.37
Birthday,Pune,652,2024-02-18,Yes,No,77194.56
Birthday,Hyderabad,976,2024-06-19,Yes,No,101315.65
Meetup,Chennai,293,2025-03-01,No,No,34324.36
Meetup,Hyderabad,4513,2024-09-03,Yes,Yes,337066.15
Meetup,Cuttack,1064,2024-06-18,No,Yes,81704.73
Marriage,Bhubaneswar,1522,2024-09-19,No,No,135779.12
Marriage,Hyderabad,2911,2025-04-07,Yes,Yes,268410.82
Marriage,Kolkata,3096,2025-11-08,No,No,237943.73
Corporate,Cuttack,752,2024-08-08,No,No,79366.08
Meetup,Kolkata,1170,2024-11-27,Yes,Yes,113977.83
Meetup,Ahmedabad,3558,2025-03-01,Yes,No,228460.09
Birthday,Ahmedabad,1015,2024-11-14,Yes,No,92311.38
Marriage,Mumbai,770,2025-02-21,No,No,109797.94
Corporate,Hyderabad,2442,2025-04-05,No,No,201341.4
Birthday,Bhubaneswar,4621,2025-04-23,Yes,No,291272.68
Marriage,Chennai,1235,2025-08-01,Yes,No,141590.32
Marriage,Cuttack,4918,2024-06-28,Yes,Yes,325747.15
Marriage,Bhubaneswar,3912,2025-01-16,Yes,Yes,294675.07
Corporate,Pune,3972,2024-07-02,No,Yes,302081.8
Marriage,Mumbai,793,2024-12-28,No,No,111403.96
Meetup,Hyderabad,1914,2025-08-29,No,Yes,152957.68
Birthday,Cuttack,528,2024-07-06,No,Yes,60413.0
Marriage,Cuttack,3164,2025-01-01,Yes,Yes,236320.5
